epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,4.64524,3.30456,5.59121,4.37063,3,0,0,0,0,3.50443,5.9355,4.15959,0,3.57e-06,3.57e-06,3.57e-06,1.785e-06,7.14e-06
2,9.57528,3.47813,6.02623,4.28662,3,0,0,0,0,3.50611,5.93465,4.1596,0,7.64278e-06,7.64278e-06,7.64278e-06,3.82139e-06,1.52856e-05
3,15.1626,2.35737,6.5343,4.46813,3,0,0,0,0,3.50701,5.93441,4.15987,0,1.09302e-05,1.09302e-05,1.09302e-05,5.46508e-06,2.18603e-05
4,17.9069,2.59104,5.86766,4.43693,3,0,0,0,0,3.5081,5.93398,4.16015,0,1.34321e-05,1.34321e-05,1.34321e-05,6.71606e-06,2.68642e-05
5,20.0433,3.05094,5.85294,4.43802,3,0,0,0,0,3.50915,5.93364,4.16047,0,1.51487e-05,1.51487e-05,1.51487e-05,7.57435e-06,3.02974e-05
6,21.7368,2.84895,6.25702,4.56197,3,0,0,0,0,3.50986,5.93388,4.16088,0,1.60799e-05,1.60799e-05,1.60799e-05,8.03994e-06,3.21597e-05
7,23.5058,2.89879,6.06225,4.33394,3,0,0,0,0,3.51065,5.93521,4.16135,0,1.62257e-05,1.62257e-05,1.62257e-05,8.11283e-06,3.24513e-05
8,25.2788,2.40721,5.9824,4.52283,3,0,0,0,0,3.5114,5.93559,4.16187,0,1.5586e-05,1.5586e-05,1.5586e-05,7.79301e-06,3.11721e-05
9,26.9442,2.93159,6.7738,4.77177,2.96815,0,0,0,0,3.51205,5.9358,4.16246,0,1.4161e-05,1.4161e-05,1.4161e-05,7.0805e-06,2.8322e-05
10,28.5829,2.7073,6.01995,4.2295,2.78679,0,0,0,0,3.51283,5.93545,4.1636,0,1.19506e-05,1.19506e-05,1.19506e-05,5.97529e-06,2.39012e-05
11,30.4029,2.82052,6.24979,4.53574,2.60704,0,0,0,0,3.51345,5.93602,4.16434,0,8.95475e-06,8.95475e-06,8.95475e-06,4.47737e-06,1.79095e-05
12,32.1316,2.93728,6.19728,4.47214,2.45041,0,0,0,0,3.51397,5.93657,4.16536,0,5.17353e-06,5.17353e-06,5.17353e-06,2.58676e-06,1.03471e-05
