epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,4.49555,3.30456,5.59121,4.37063,3,0,0,0,0,3.50443,5.9355,4.15959,0,3.57e-06,3.57e-06,3.57e-06,1.785e-06,7.14e-06
2,9.4824,3.47876,6.02458,4.28898,3,0,0,0,0,3.50611,5.93465,4.1596,0,7.64278e-06,7.64278e-06,7.64278e-06,3.82139e-06,1.52856e-05
3,14.4803,2.41018,6.43544,4.47464,3,0,0,0,0,3.50701,5.93441,4.15987,0,1.09302e-05,1.09302e-05,1.09302e-05,5.46508e-06,2.18603e-05
4,19.3815,2.60038,5.84417,4.42885,3,0,0,0,0,3.5081,5.93397,4.16015,0,1.34321e-05,1.34321e-05,1.34321e-05,6.71606e-06,2.68642e-05
5,24.5348,3.08052,5.84744,4.4144,3,0,0,0,0,3.50914,5.93368,4.16048,0,1.51487e-05,1.51487e-05,1.51487e-05,7.57435e-06,3.02974e-05
6,28.6976,2.88177,6.22727,4.53115,3,0,0,0,0,3.50987,5.9339,4.1609,0,1.60799e-05,1.60799e-05,1.60799e-05,8.03994e-06,3.21597e-05
7,31.2479,2.87246,6.1983,4.3908,3,0,0,0,0,3.51066,5.93521,4.16139,0,1.62257e-05,1.62257e-05,1.62257e-05,8.11283e-06,3.24513e-05
8,36.5774,2.41503,6.01234,4.50304,3,0,0,0,0,3.51142,5.9356,4.16192,0,1.5586e-05,1.5586e-05,1.5586e-05,7.79301e-06,3.11721e-05
9,41.6813,2.919,6.48399,4.76646,3,0,0,0,0,3.51206,5.93584,4.16252,0,1.4161e-05,1.4161e-05,1.4161e-05,7.0805e-06,2.8322e-05
10,46.5328,2.67033,6.31556,4.34713,2.91741,0,0,0,0,3.51286,5.9355,4.16354,0,1.19506e-05,1.19506e-05,1.19506e-05,5.97529e-06,2.39012e-05
11,51.6209,2.7567,6.18741,4.55215,2.7221,0,0,0,0,3.5135,5.93608,4.16442,0,8.95475e-06,8.95475e-06,8.95475e-06,4.47737e-06,1.79095e-05
12,55.5631,2.84336,6.14826,4.49815,2.54867,0,0,0,0,3.51404,5.93663,4.16539,0,5.17353e-06,5.17353e-06,5.17353e-06,2.58676e-06,1.03471e-05
