epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,4.29301,3.30456,5.59121,4.37063,3,0,0,0,0,3.50443,5.9355,4.15959,0,3.57e-06,3.57e-06,3.57e-06,1.785e-06,7.14e-06
2,9.27124,3.47813,6.02623,4.28662,3,0,0,0,0,3.50611,5.93465,4.1596,0,8.01282e-06,8.01282e-06,8.01282e-06,4.00641e-06,1.60256e-05
3,14.3472,3.46111,6.0762,4.35333,3,0,0,0,0,3.50699,5.93441,4.15991,0,1.20931e-05,1.20931e-05,1.20931e-05,6.04657e-06,2.41863e-05
4,19.4029,2.9446,5.68051,4.34346,3,0,0,0,0,3.50799,5.93403,4.16022,0,1.5811e-05,1.5811e-05,1.5811e-05,7.90549e-06,3.1622e-05
5,24.3967,3.25528,5.70482,4.28291,3,0,0,0,0,3.50887,5.93367,4.16061,0,1.91663e-05,1.91663e-05,1.91663e-05,9.58316e-06,3.83326e-05
6,26.8309,3.84533,5.6815,4.36569,3,0,0,0,0,3.50976,5.93432,4.16105,0,2.21592e-05,2.21592e-05,2.21592e-05,1.10796e-05,4.43183e-05
7,30.3334,3.14583,6.23603,4.36923,3,0,0,0,0,3.51056,5.93524,4.16155,0,2.47895e-05,2.47895e-05,2.47895e-05,1.23948e-05,4.95791e-05
8,35.2985,3.18905,5.93012,4.32032,3,0,0,0,0,3.5112,5.93597,4.16205,0,2.70574e-05,2.70574e-05,2.70574e-05,1.35287e-05,5.41148e-05
9,40.4211,2.86559,5.34893,4.30123,2.96987,0,0,0,0,3.51196,5.93544,4.16308,0,2.89628e-05,2.89628e-05,2.89628e-05,1.44814e-05,5.79255e-05
10,45.4276,3.34511,5.70547,4.27015,2.78116,0,0,0,0,3.51265,5.93564,4.16381,0,3.05057e-05,3.05057e-05,3.05057e-05,1.52528e-05,6.10113e-05
11,50.4559,2.85887,5.73384,4.32437,2.5984,0,0,0,0,3.51322,5.93608,4.16473,0,3.1686e-05,3.1686e-05,3.1686e-05,1.5843e-05,6.33721e-05
12,55.7865,3.40815,6.01103,4.22856,2.44574,0,0,0,0,3.51391,5.93627,4.16586,0,3.25039e-05,3.25039e-05,3.25039e-05,1.6252e-05,6.50079e-05
13,60.8661,3.54861,5.56152,4.39557,2.31294,0,0,0,0,3.51438,5.93589,4.16703,0,3.29593e-05,3.29593e-05,3.29593e-05,1.64797e-05,6.59187e-05
14,65.8575,2.87085,6.13774,4.46304,2.20074,0,0,0,0,3.51482,5.93573,4.16849,0,3.30523e-05,3.30523e-05,3.30523e-05,1.65261e-05,6.61045e-05
15,71.066,2.7462,5.75722,4.25602,2.09952,0,0,0,0,3.51558,5.93576,4.16946,0,3.27827e-05,3.27827e-05,3.27827e-05,1.63913e-05,6.55653e-05
16,76.0031,3.01312,5.83689,4.27234,2.0119,0,0,0,0,3.51682,5.93556,4.17006,0,3.21506e-05,3.21506e-05,3.21506e-05,1.60753e-05,6.43012e-05
17,81.1587,3.05243,5.82274,4.39869,1.93971,0,0,0,0,3.51822,5.93735,4.17061,0,3.1156e-05,3.1156e-05,3.1156e-05,1.5578e-05,6.23121e-05
18,86.4172,2.54915,5.76783,4.39125,1.86895,0,0,0,0,3.51933,5.93813,4.17203,0,2.9799e-05,2.9799e-05,2.9799e-05,1.48995e-05,5.95979e-05
19,91.267,2.72908,5.84979,4.40049,1.81103,0,0,0,0,3.52024,5.93882,4.1735,0,2.80794e-05,2.80794e-05,2.80794e-05,1.40397e-05,5.61588e-05
20,96.393,2.539,5.88863,4.43436,1.75429,0,0,0,0,3.51784,5.93621,4.17795,0,2.59974e-05,2.59974e-05,2.59974e-05,1.29987e-05,5.19948e-05
21,101.325,2.52669,6.10652,4.50281,1.70255,0,0,0,0,3.51466,5.93498,4.18079,0,2.35528e-05,2.35528e-05,2.35528e-05,1.17764e-05,4.71057e-05
22,106.272,2.56212,6.24169,4.45214,1.65787,0,0,0,0,3.5148,5.93614,4.18303,0,2.07458e-05,2.07458e-05,2.07458e-05,1.03729e-05,4.14916e-05
23,111.608,2.79941,6.22211,4.52311,1.62147,0,0,0,0,3.51489,5.93746,4.18486,0,1.75763e-05,1.75763e-05,1.75763e-05,8.78815e-06,3.51526e-05
24,116.644,2.60742,5.89838,4.4645,1.58061,0,0,0,0,3.51676,5.93776,4.18692,0,1.40443e-05,1.40443e-05,1.40443e-05,7.02214e-06,2.80886e-05
25,121.762,2.25956,6.1191,4.30167,1.54684,0,0,0,0,3.52689,5.93954,4.18659,0,1.01498e-05,1.01498e-05,1.01498e-05,5.07489e-06,2.02996e-05
26,126.705,2.64972,5.90871,4.34901,1.51479,0,0,0,0,3.52415,5.94113,4.18526,0,5.72115e-06,5.72115e-06,5.72115e-06,2.86058e-06,1.14423e-05
